Front,Back,Tags
"What is a CRDT?","Conflict-free Replicated Data Type. A data structure that automatically merges concurrent updates without coordination. Examples: G-Counter (grow-only), PN-Counter, LWW-Register, OR-Set. Used in Riak, Yjs (collab editing), Redis Active-Active.","m02 concept"
"Why is Two-Phase Commit (2PC) usually wrong in modern systems?","Blocking: if coordinator crashes after prepare, participants wait forever. Slow: synchronous coordination across all participants. Doesn't compose with high-availability designs. Replaced by sagas + single-node transactions + eventual consistency.","m02 tradeoff"
"What is 'fail-slow' and why is it worse than fail-stop?","A node that responds but slowly. Worse than fail-stop because: traditional health checks pass; latency propagates through callers; cascade is silent until everything is degraded. Most modern outages are fail-slow, not fail-stop.","m02 failure-mode"
"What is 'grey failure'?","A node 'seems up' (passes health checks) but is broken in subtle ways — high error rate on certain paths, partial data corruption, intermittent timeouts. Hardest failure mode to monitor for. Most modern outages live here.","m02 failure-mode"
"What's a B-tree's write amplification?","~1× (in-place updates). Each write modifies one page. Trade-off: random I/O for writes. Good for read-heavy workloads with complex queries.","m03 number"
"What's an LSM-tree's typical write amplification?","10-30× over the data's lifetime, due to compaction rewriting SSTables. Writes themselves are fast (sequential append to memtable, sequential flush to SSTable). Compaction is the long-tail cost.","m03 number"
"When should you choose LSM (Cassandra/Scylla/RocksDB) over B-tree (PG/MySQL)?","Write-heavy workloads, simple key-based access patterns, eventual consistency acceptable. LSM trades read predictability and write amplification for raw write throughput.","m03 tradeoff"
"What are the four sharding (partitioning) strategies?","Range (each shard owns a key range — good range scans, hot-spot risk), Hash (uniform but kills range scans, hard to reshard), Consistent hash (resharding moves ~1/N keys), Directory/lookup (metadata service maps keys — max flexibility, SPOF risk).","m03 concept"
"What problem does consistent hashing solve?","Naive hash sharding requires moving most data when adding/removing nodes (N changes). Consistent hashing on a ring moves only ~1/N keys. Virtual nodes (100-200 per real node) provide balance.","m03 concept"
"Why are isolation levels important?","SQL isolation levels (Read Uncommitted, Read Committed, Repeatable Read, Snapshot, Serializable) control which concurrent-transaction anomalies are possible. Snapshot Isolation does NOT prevent write skew — a common production bug. If correctness needs 'if X then Y', use SERIALIZABLE or explicit locking.","m03 concept"
"What is 'write skew' and why does it bite?","Two concurrent transactions each read X, both modify Y based on it, both commit — invariant on X violated. NOT prevented by snapshot isolation (each tx sees its own snapshot). Fixed by SERIALIZABLE or SELECT FOR UPDATE.","m03 failure-mode"
"What's CDC and why does it matter?","Change Data Capture: stream every change from the DB's write-ahead log as events. Tools: Debezium, AWS DMS. Lets you keep search index, cache, warehouse in sync with OLTP without dual writes. Solves dual-write problem.","m03 concept"
"What's the difference between OLTP and OLAP?","OLTP: many small reads/writes, ms latency, row-oriented storage, many narrow indexes (PG, MySQL). OLAP: few large scans/aggregations, second-minute latency, column-oriented (Snowflake, ClickHouse, BigQuery, DuckDB). Columnar wins at analytics because aggregations only read needed columns.","m03 tradeoff"
"What's a typical PostgreSQL OLTP write throughput per node?","~1-10K writes/sec for typical workloads. Reads: ~10-50K reads/sec. Beyond that, scaling reads via replicas or sharding writes app-side.","m03 number"
"What's a typical Kafka broker's throughput?","~100K+ messages/sec on modest hardware. Cluster of 5+ brokers comfortably handles 1M+ msgs/sec. Partitions = parallelism ceiling.","m03 number"
"What's a typical Redis throughput?","~100K ops/sec per instance (in-memory). Latency: sub-ms. Caps: single-threaded for commands; cluster mode shards.","m03 number"
"What's the difference between a monolith and a modular monolith?","Both deploy as one unit. Modular monolith enforces internal module boundaries: package-per-module, defined interfaces, no cross-module DB access. Captures 80% of microservices benefit at 20% of operational cost. Most underrated style of the past decade.","m04 concept"
"When are microservices the right choice?","Organizations with 50+ engineers, clear domain boundaries, mature DevOps, business that benefits from independent scaling and deployment. They solve organizational problems (team autonomy) more than technical ones. Below ~30 engineers, you usually don't have the org problem yet.","m04 tradeoff"
"What is Conway's Law and why does it matter for architecture?","Organizations design systems that mirror their communication structure. Microservices work when teams are autonomous; they fail when teams still coordinate on every change. Architects must consider org shape, not just code.","m04 concept"
"What's a 'distributed monolith'?","A microservices system where services are technically separate deploys but tightly coupled in practice — synchronous chains, shared databases, deploy together. Has all the operational cost of microservices and none of the benefits. The dominant microservices failure mode.","m04 failure-mode"
"What does hexagonal architecture optimize for?","Separation of domain logic from infrastructure. Domain depends on nothing external; external systems (HTTP, DB, queues) implement domain-defined interfaces. Wins: testable domain, replaceable infra, code that outlives framework choices.","m04 pattern"
"What's the difference between event notification and event-carried state transfer?","Event notification: small event with just an ID/key — consumer fetches details via API (more coupling, less data). Event-carried state transfer: event contains all needed data — consumers self-sufficient (looser coupling, larger events, more schema coupling).","m04 tradeoff"
"What's the Strangler Fig pattern?","Incremental migration approach: identify a slice of legacy functionality, build new system to handle it, route traffic to new, decommission old, repeat. Old and new coexist for months/years. Don't believe anyone who says they'll migrate in a quarter.","m04 pattern"
"What's an Anti-Corruption Layer (ACL)?","A boundary/translation layer between your domain and an external/legacy system. Translates external model to your domain language; rest of your code never sees the external mess. Critical when integrating with legacy systems or vendor APIs.","m04 pattern"
"What's the dual-write problem?","App writes to DB, then publishes to Kafka. Either can fail independently → divergence. Retries don't fix it (Two Generals problem). Even worse: app crash between DB commit and publish leaves DB ahead with no event published.","m05 failure-mode"
"What is the Transactional Outbox pattern?","Write the event to an outbox table in the SAME database transaction as the business write. A separate relay polls the outbox and publishes to Kafka, then marks as published. Guarantees at-least-once delivery; consumers must be idempotent.","m05 pattern"
"Why is exactly-once delivery impossible across systems?","Fundamental property of distributed systems. Two Generals problem applies — you can't guarantee both 'message received' and 'sender knows message received' in finite time over an unreliable network. The practical answer: at-least-once + idempotent consumers.","m05 concept"
"Three techniques for making a consumer idempotent","Natural idempotency (SET status='paid' vs INCREMENT counter), Idempotency keys (store (event_id, processed_at), skip duplicates), Conditional writes (UPDATE WHERE version=X, optimistic concurrency).","m05 pattern"
"What's the difference between saga choreography and orchestration?","Choreography: no central coordinator; services listen for events and react. Each service knows its part. Best for 2-4 stable steps, loosely coupled but hard to trace. Orchestration: a central coordinator (state machine) drives the workflow. Easier to debug and evolve; tighter coupling. Best for 4+ steps or complex flows.","m05 tradeoff"
"Why does every saga step need a compensating action?","Because any step can fail, requiring rollback of earlier steps. 'Send email' has no inverse — emails can't be unsent. Plan side effects without inverses for AFTER saga completes (use Saga Outcome Event), not mid-flight.","m05 pattern"
"What is event sourcing?","Store every state change as an event; current state = fold over event history. Powerful for audit trails and temporal queries. Costs: mental model shift, schema evolution pain, snapshot mechanism needed at scale. Use for domains with regulatory/audit needs; CRUD is fine for everything else.","m05 concept"
"What is CQRS?","Command-Query Responsibility Segregation. Separate write model (normalized, transactional) from read model (denormalized, optimized for queries). Sync via events. Different schemas, sometimes different stores. Useful when read/write workloads diverge significantly. Does NOT require event sourcing.","m05 concept"
"What's the difference between per-partition and global ordering in Kafka?","Kafka guarantees order WITHIN a partition. Across partitions, no order guarantee. To get per-key ordering, use that key as the Kafka partition key. Cross-key ordering is impossible at scale.","m05 concept"
"Why is the 'failure cascade' the dominant outage shape in microservices?","One service slows down → callers' threads block waiting → caller runs out of threads → caller's callers fail → cascade. The failure spreads even to requests that don't need the slow service. Every reliability pattern is, at root, a way to prevent or contain cascade.","m06 failure-mode"
"What is 'blast radius' in architecture?","The set of components/users affected when something fails. Architects design to minimize blast radius: multi-AZ deployment, cell-based architecture, per-service caches, bulkheads. Smaller blast radius = smaller outages.","m06 concept"
"What is backpressure and why is it essential?","Signal from a slow consumer to its producer: 'I can't keep up — slow down.' Without it: queues grow unbounded, memory exhaustion, cascade. With it: producers slow down, retry with backoff, or shed load. At every queue/buffer, ask: 'what happens when this fills up?'","m06 concept"
"What are the rules for safe retries?","1) Only retry idempotent operations. 2) Exponential backoff (100ms, 200ms, 400ms). 3) Jitter (add randomness so retries don't synchronize). 4) Cap retries (2-3 attempts). 5) Don't retry 4xx. 6) Combine with circuit breaker.","m06 pattern"
"What is a retry storm?","Downstream slows down → every caller retries 3× → downstream gets 3× more load → slows further → more retries → cascade. Brief outages become long ones. Prevented by exponential backoff + jitter + circuit breakers.","m06 failure-mode"
"What are the three states of a circuit breaker?","Closed (normal, counting failures), Open (fail-fast without calling downstream, after threshold), Half-open (after cool-off, allow probe requests; success → closed, failure → open). Tuning: failure threshold, min request volume, cool-off duration.","m06 pattern"
"What is the bulkhead pattern?","Separate resource pools (connection pools, thread pools, semaphores) per downstream dependency. One slow downstream exhausts its own pool; healthy downstreams unaffected. Named after ship compartments containing flooding.","m06 pattern"
"What are the four common rate-limiting algorithms?","Token bucket (bucket of N tokens refilling at rate R, allows bursts), Leaky bucket (queue drained at rate R, smooths spikes), Fixed window (count per minute, simple but edge-spikes), Sliding window (smoothed fixed window).","m06 pattern"
"What is load shedding?","Under saturation, deliberately drop low-priority requests to keep high-priority ones working. Requires clients to mark request priority. Examples: dropping analytics queries while serving user traffic, deferring background jobs at peak.","m06 pattern"
"What is request hedging?","For p99-sensitive systems: when a request takes longer than p95, send a duplicate to another replica. Use whichever returns first. ~5% extra load for ~50% p99 reduction. Only safe for idempotent reads — don't hedge writes.","m06 pattern"
"Why must every service call have a timeout?","Without timeout, calls can hang forever, exhausting caller's resources. Default Go HTTP client has no timeout — this is a bug waiting to happen. Use context.WithTimeout for cancellable, propagatable timeouts.","m06 pattern"
"What's a 'timeout budget'?","If your SLO is p99 < 500ms and you make 3 downstream calls, their timeouts can't all be 500ms. Allocate: maybe 150ms each + 50ms slack. Think in budgets, not raw timeouts.","m06 concept"
"What is chaos engineering?","Intentionally injecting failures in production (or production-like) to verify the system degrades as designed. Levels: game days (scheduled, engineers respond), latency injection, failure injection (kill pods/AZs), continuous chaos (Chaos Monkey).","m06 concept"
"What's the 5-phase framework for a 45-minute system design interview?","1) Requirements (5min, clarify functional + non-functional). 2) Estimates (5min, capacity numbers). 3) High-level (10min, boxes & arrows). 4) Deep-dive (15-20min, 2-3 components in detail). 5) Trade-offs & scale (5-10min, what breaks at 10×).","m07 pattern"
"For Twitter timeline, when do you use fan-out-on-write vs fan-out-on-read?","Fan-out on write (push) for most users: O(followers) write, O(1) read. Fan-out on read (pull) for celebrities (>10K followers) to bound write fanout. Hybrid: at read time, merge pushed tweets + recent celebrity tweets pulled from tweet store.","m07 pattern"
"What's an inverted index?","Term → list of documents containing that term (with positions, frequencies). Foundation of every search engine. Query 'distributed systems' intersects posting lists of 'distributed' and 'systems'. Sharded by document (not term) in real systems.","m07 concept"
"What is multi-stage retrieval in search?","Three stages: 1) Candidate generation (~thousands from inverted index, fast). 2) Light ranking (BM25, basic features). 3) Heavy ranking (neural model, many features). Trades compute against quality at each stage.","m07 pattern"
"For a real-time chat system, where does connection state live?","A registry (often Redis) maps user → which gateway server holds their WebSocket. Sending: look up recipient's gateway, forward there, gateway pushes via WebSocket. Each gateway is a failure domain — recovery via reconnect.","m07 pattern"
"In a ride-sharing system, why is matching often done in batched 'dispatch ticks' instead of one-rider-at-a-time?","Per-rider matching is reactive. Batched matching every 1-2 seconds allows: better optimization (e.g., assign nearest driver across many riders), fewer race conditions, smoother surge pricing. Trade-off: slight latency increase for much better global optimum.","m07 tradeoff"
"What's the idempotency key pattern in payments?","Every payment request includes an Idempotency-Key header. Server stores (merchant_id, key) → result. Duplicates return cached result. Critical for: network retries, mobile spotty connections, intentional retries by integrators.","m07 pattern"
"What is double-entry bookkeeping in financial ledgers?","Every transfer is a debit + credit, summing to zero. Balances are derived sums. Append-only, never UPDATE/DELETE. Naturally event-sourced. Required for: audit, regulatory compliance, recovery from corruption.","m07 pattern"
"What is reconciliation in payments?","Daily process: pull settlement reports from acquirers, compare with internal ledger, investigate discrepancies (missing, mismatched, late). Without it: money bleeds slowly and you don't notice. Underrated as a design concern.","m07 pattern"
"What makes an ADR title good?","Decision-shaped, active voice. 'Use PostgreSQL for OLTP storage' is good. 'PostgreSQL vs MySQL?' is bad (a question, not a decision). 'Database stuff' is worst (vague).","m08 pattern"
"When SHOULD you write an ADR?","When a future engineer would benefit from knowing WHY this was decided. If they'd just say 'yeah makes sense, moving on' — skip it. Always ADR Type 1 (irreversible) decisions. Don't ADR variable names.","m08 pattern"
"What's the 4-level C4 diagram model?","Level 1 Context (one box for your system + external actors). Level 2 Container (deployable units inside). Level 3 Component (modules inside one container). Level 4 Code (often skipped — code IS this level).","m08 concept"
"What's the most important rule for diagrams?","One level of abstraction per diagram. Don't mix containers and components. Label every box with what it IS (and language/runtime). Label every arrow with what it CARRIES (protocol/direction).","m08 pattern"
"How is RFC different from an ADR?","ADR: one focused decision, 1-3 pages. RFC: a broader proposal (often involving multiple decisions, multiple teams, weeks of work), 5-15 pages, includes migration plan, risks, rollout. RFCs often spawn ADRs.","m08 concept"
"What's the architect's job at its core?","Make decisions visible (ADRs, diagrams), align stakeholders (translation across audiences), reduce decision fatigue (set defaults, encode patterns), predict the future (anticipate which decisions will hurt), model the standard (write the ADR you want others to write).","m08 concept"
"What three sources of influence does an architect have (since they usually can't 'order')?","Expertise (they know more), Track record (their past decisions worked), Clarity (their explanations make sense), Relationships (they're trusted), Frameworks (they help others decide better). Title alone doesn't grant influence.","m08 concept"
"What's the 'Plateau Trap' for senior engineers?","Staying great at building but never learning to shape building. Reward systems pay them to ship features; they keep shipping; they never make the architect leap. Force ratio toward 50/50 building/talking, even at some shipping cost.","m08 concept"
"How should you delegate to different seniority levels?","Junior: tell them WHAT to do. Senior: tell them WHY, let them choose how. Staff+: tell them WHETHER it's even worth doing, let them define the what.","m08 pattern"
"What's the framework for delivering bad news (e.g., 'your pet project is wrong')?","1) Start with shared values ('we both want X'). 2) Name the conflict ('proposal is in tension with X because Y'). 3) Bring data not opinion. 4) Offer alternatives. 5) Let them choose — don't dictate.","m08 pattern"
"How do you maintain influence over time without becoming 'ivory tower'?","Stay in the code (20-40% of time). Build prototypes. Pair occasionally. Run code reviews. Pure-paper architects get stale and lose credibility. Always-coding architects don't have time for the rest. Find the balance.","m08 concept"
"What's the disagreement framework — 'disagree without damaging'?","Make it about the design, not the designer. ✗ 'This is bad because…'. ✓ 'I have concerns about how X is handled — what if we…'. Public disagreement on arguments only; save personal feedback for private. Save political capital for high-reversibility-cost decisions.","m08 pattern"
"Why are architectural decisions said to 'decay'?","The world changes (scale grows, tech matures, business shifts). A decision correct in 2022 may be wrong in 2026. The Discord Cassandra→ScyllaDB migration is the canonical example. Architects revisit decisions on their review dates with data — not by gut.","m08 concept"
"What makes an ADR get read vs ignored?","Read: short (1-3 pages), title is decision, conclusion at top, skim-able with headers/bullets, written for someone who joined yesterday. Ignored: 12-page treatises, buried conclusion, all upside no downside, vague alternatives.","m08 pattern"
"What's the 'New Hire Test' for an ADR?","Hand it to a senior engineer who joined yesterday. Can they: read it in 5 min? Explain the decision back in 2 min? Name one alternative and why rejected? If no to any — revise.","m08 pattern"
"What was the root cause of the Knight Capital incident (2012)?","A 9-year-old debug feature flag, repurposed for a new feature, triggered on a server where deploy was incomplete. Old dead code path executed without limits. $440M loss in 45 min. Lesson: quality attributes you don't name (operability, blast radius) will kill you.","case-study failure-mode"
"What was the root cause of the GitHub October 2018 outage?","43-second network partition between US East/West caused MySQL Orchestrator to fail over to a stale replica. When network recovered, divergent histories couldn't be cleanly merged. 24 hours of manual reconciliation. Lesson: failover automation needs witness for true 'down' vs 'unreachable'.","case-study failure-mode"
"What was the root cause of Roblox's 73-hour outage (2021)?","A streaming feature increased Consul write rate beyond what its Raft cluster could commit. Queue grew unbounded; positive feedback loop; cluster degraded but never recovered without expert intervention. Lesson: consensus systems have throughput ceilings; need backpressure.","case-study failure-mode"
"What was the root cause of the AWS S3 outage (Feb 2017)?","An engineer ran a debug command with a typo, removing more capacity than intended. The S3 index subsystem went offline, taking down many AWS services and a huge swath of the internet. Recovery took ~4 hours (cold-start time never measured). Lesson: sharp tools cause sharp accidents.","case-study failure-mode"
"Why did Discord migrate from Cassandra to ScyllaDB (2022)?","Cassandra ops became increasingly painful (GC pauses, hot partitions, operator load). After measurement, migrated to ScyllaDB: cluster 177→72 nodes, p99 latency 40ms→5ms. Lesson: architectural decisions decay; revisit on schedule with data.","case-study concept"
"What's the most important principle for choosing between A and C in CAP?","Pick C (refuse service during partition) for: money, identity, inventory. Pick A (serve possibly-stale data) for: counts, feeds, 'likes', presence. The default 'we'll be available' is usually wrong for critical business invariants.","tradeoff"
"What are the three architect mindset shifts?","1) From solving problems to defining constraints (the right question is harder). 2) From functional-first to quality-attributes-first. 3) From code as the artifact to communication as the artifact. Internalize these; the rest follows.","concept"
"How long does it typically take to migrate from monolith to microservices?","Multiple years, almost always longer than estimated. Don't believe anyone who says 'we'll migrate in a quarter.' Strangler fig pattern: incremental, old + new coexist for months/years. Plan accordingly.","tradeoff"
"What's the difference between AP and CP under partition?","AP (Cassandra, DynamoDB): always respond, possibly with stale data. Reads return; writes accepted; eventual consistency. CP (Spanner, etcd, Zookeeper): refuse service rather than serve stale or split-brain data. Lower availability during partition for stronger guarantees.","tradeoff"
"What's the difference between Type 1 and Type 2 decisions in terms of effort?","Type 1 (one-way doors): ADR, multiple stakeholders, prototype, sign-off. Type 2 (two-way doors): ship, iterate. Most engineering teams over-debate Type 2 and under-debate Type 1. Architects flip this.","pattern"
"Why is 'fan-out on write' bad for celebrities (high-follower users)?","Write cost is O(followers). A celebrity with 10M followers means 10M writes per tweet. Bursts cause hot keys. Solution: hybrid — fan-out-write below threshold (e.g., 10K), fan-out-read above. Merge at read time for followers of celebrities.","tradeoff"
"What's the role of a 'dead letter queue' (DLQ)?","Where events go after N failed retries by consumers. Out-of-band investigation/replay. Every consumer should have a DLQ. Without it: poison messages block progress indefinitely OR are silently dropped.","m05 pattern"
"What's a 'process manager' in event-driven architecture?","A long-running stateful service that orchestrates a multi-step workflow across services. Listens for events, sends commands, tracks state machine. Distinct from domain logic — handles orchestration across boundaries. Sometimes called 'saga orchestrator'.","m05 pattern"
"What is the schema-evolution rule for event-driven systems?","Events live forever. Schemas don't. Use schema registry (Confluent, AWS Glue) with versioning. Backward compat: new code reads old events. Forward compat: old code reads new events. Avoid: deleting fields, renaming, narrowing types. Prefer: adding optional fields.","m05 pattern"
"What's the difference between fan-out, broadcast, and multicast in messaging?","Fan-out: one producer, multiple consumers (each consumer group gets a copy). Broadcast: every consumer gets every message. Multicast: producer sends once, network duplicates to subscribers. Kafka does fan-out via consumer groups.","m05 concept"
"What three sources cause hot keys in distributed systems?","1) Skewed data (some entities are more popular). 2) Skewed access (some queries are more frequent). 3) Naming conventions (e.g., date-prefixed keys cluster). Mitigate: salt keys, route to multiple partitions, cache hot reads.","failure-mode"
"What's 'eventual consistency' actually mean?","If updates stop, all replicas eventually converge to the same state. Doesn't specify how long. Useful when: counts, feeds, 'likes'. Not useful when: bank balance, inventory.","concept"
"What is a thundering herd?","Many clients simultaneously retry/reconnect at the same instant (e.g., after a brief outage, at periodic boundary like Monday 9am). Aggregate load spike exceeds normal capacity. Prevented by jitter, exponential backoff, gradual ramp.","failure-mode"
"What's the difference between observability and monitoring?","Monitoring: predefined metrics, dashboards, alerts on known failure modes. Observability: ability to debug NEW failure modes from collected data (logs + metrics + traces). Monitoring catches things you predicted; observability helps with things you didn't.","concept"
"What does 'capacity planning' actually entail at an architect level?","1) Measure current peak load. 2) Project growth (DAU, RPS, storage). 3) Identify dominant constraint (often: writes/sec, hot key, GC pause). 4) Verify headroom (50%+ typical). 5) Define re-architecture triggers (when current design breaks).","pattern"
"What's a 'cell-based architecture'?","Divide users/traffic into cells; each cell is a complete deployment. One cell failure ≠ all users affected. Used by AWS, Slack, others post-major-outages. Smaller blast radius at the cost of operational complexity.","m06 pattern"
"What are the 8 Fallacies of Distributed Computing (Peter Deutsch)?","1) Network is reliable. 2) Latency is zero. 3) Bandwidth is infinite. 4) Network is secure. 5) Topology doesn't change. 6) One administrator. 7) Transport cost is zero. 8) Network is homogeneous. Print these. Tape to monitor.","m02 concept"
"What is a 'witness' or 'arbitrator' in distributed systems?","A third node (typically in a separate failure domain) that votes on cluster decisions but doesn't store data. Used to break ties / prevent split-brain. Cheap to operate; high value for consensus. Example: MongoDB arbiter.","m02 concept"
"What's a 'shadow read' or 'mirroring' in migrations?","Send the read request to BOTH old and new system; compare results; serve from old. Lets you verify new system's correctness with real production load before flipping. Used in Discord's Cassandra→ScyllaDB migration.","pattern"
"What's the difference between optimistic and pessimistic locking?","Pessimistic: SELECT FOR UPDATE — lock rows during transaction. Safe but blocks concurrency. Optimistic: UPDATE WHERE version=X — check version on commit, retry on conflict. Better concurrency; requires app-level retry logic.","m03 concept"
"How is pgvector different from a dedicated vector DB (Milvus, Pinecone)?","pgvector: extension to PostgreSQL — keeps relational + vector in one DB, transactional consistency, simpler stack. Limits: slower past ~10M vectors. Dedicated: built for similarity search at massive scale, more index types (HNSW + IVF + PQ variations), higher cost.","m03 tradeoff"
"What's a 'micro-batch' indexing approach?","Instead of indexing each event individually (high overhead per call), collect events for short window (50-500ms), batch-index together. Trade off: slight indexing latency for major throughput gain. Used in real-time search and analytics pipelines.","m05 pattern"
"What does HNSW do for vector search?","Hierarchical Navigable Small World: graph-based approximate nearest neighbor algorithm. Logarithmic search time. Multiple layers of progressively dense graphs; greedy search from top to bottom. Used in pgvector, Milvus, OpenSearch, Faiss. Default ANN choice.","m03 concept"
"What's the difference between strict, sequential, and causal consistency?","Strict (linearizable): operations appear in real-time order, all replicas agree. Sequential: all replicas see same order (not necessarily real-time). Causal: if A causally precedes B, all replicas see A before B (concurrent ops can be in any order).","m02 concept"
"Why is leader-based replication chosen for most DBs?","Simpler reasoning: writes go through one node, ordering is automatic. Failover well-understood. Cost: leader is bottleneck for writes; failover causes brief unavailability. Used by: most SQL DBs, MongoDB, Kafka (per-partition).","m03 tradeoff"
"What's the 'split-brain' problem?","Network partition causes two parts of a cluster to each elect a leader / accept writes. When partition heals, divergent state must be reconciled — often manually. Prevented by quorum-based consensus (need majority, so two halves can't both have majority).","m02 failure-mode"
"What's gossip protocol used for?","Each node periodically tells a few random neighbors what it knows. Information spreads exponentially. Scales well, robust to failure, eventually consistent. Used for: cluster membership (Cassandra), service discovery (Consul), Redis Cluster topology.","m02 pattern"
"What is HLC (Hybrid Logical Clock)?","Combines wall-clock time with logical counter. Provides causality (like Lamport) but with timestamps close to real wall-clock. Used by CockroachDB. Trade-off vs TrueTime: cheaper, no GPS/atomic clock; less tight bounds on uncertainty.","m02 concept"
"What's the canonical writeup of the Outbox pattern?","Gunnar Morling, 'Reliable Microservices Data Exchange With the Outbox Pattern' (Debezium blog, 2019). Original idea older but this is the modern reference. Includes patterns for managing the outbox table at scale.","m05 reference"
"What's the difference between read-replica routing and CQRS?","Read replica: same schema/model, just multiple read copies of primary; transparent to app. CQRS: explicitly different read model and write model, separate stores, sync via events. CQRS is heavier but allows different shapes; read replicas are lighter but don't.","m05 tradeoff"
"What's the architect's question about every queue/buffer?","'What happens when this fills up?' If the answer is 'it grows unbounded', there's no backpressure — that's a failure mode waiting to happen. Always have a cap and a behavior on cap (drop, reject, alert).","m06 pattern"
"What are the four levels of chaos engineering?","1) Game days (scheduled, engineers respond). 2) Latency injection (slow a downstream). 3) Failure injection (kill pods/services/AZs). 4) Continuous chaos (Chaos Monkey killing randomly daily). Each level requires increasing operational maturity.","m06 concept"
"What's the operational difference between 99.9% and 99.99% SLO?","99.9% = 43min downtime/month. 99.99% = 4min/month. The 10× difference in downtime budget often requires 5-10× the engineering investment: multi-region, automated failover, hot standby, faster detection. Choose carefully.","m01 number"
"What's a common 'distributed monolith' anti-pattern?","Services share a database (so they can't deploy independently). Synchronous chains (so a downstream failure cascades). Shared libraries with version coupling (so a library change requires all services to update). Tight semantic coupling (so changes ripple).","m04 failure-mode"
"What's an example of a Type 1 decision in a typical web product?","Choice of primary database. Programming language. Authentication mechanism (OAuth vs session). Build vs buy on identity. Data model for core entity. URL structure. Public API contracts. These are years-to-reverse.","m01 example"
"What's an example of a Type 2 decision in a typical web product?","Monitoring vendor. Logging format. Library upgrade. Internal API contract (between services you own). Specific algorithm in non-public code. Code style. These take hours-to-days to reverse.","m01 example"
"What does 'evolvability' mean as a quality attribute?","How easily the architecture supports new use cases or replaces components. Measured by: coupling metrics, ease of adding a new feature, time to swap an infrastructure component. Often sacrificed for performance — and missed at design time.","m01 concept"
"What's the trade-off between strong consistency and latency?","Strong consistency in distributed systems requires coordination (consensus, replication acks). That coordination has a latency cost — typically multiple round-trips. Choosing strong consistency means accepting higher latency, especially across regions.","m02 tradeoff"
